ENSG00000145860,ENSG00000134324
ENSG00000159685,ENSG00000168944
ENSG00000102796,ENSG00000171657
ENSG00000140398,ENSG00000149639
ENSG00000108551,ENSG00000171368
ENSG00000104808,ENSG00000197961
ENSG00000100601,ENSG00000144655
ENSG00000159228,ENSG00000125772
ENSG00000167074,ENSG00000139835
ENSG00000168906,ENSG00000004848
ENSG00000134574,ENSG00000101654
ENSG00000051620,ENSG00000196189
ENSG00000008405,ENSG00000064961
ENSG00000092470,ENSG00000104763
ENSG00000164733,ENSG00000093183
ENSG00000095713,ENSG00000204954
ENSG00000115657,ENSG00000118271
ENSG00000072310,ENSG00000124641
ENSG00000185561,ENSG00000120251
ENSG00000052795,ENSG00000186575
ENSG00000109861,ENSG00000159917
ENSG00000100439,ENSG00000133119
ENSG00000084207,ENSG00000162545
ENSG00000184047,ENSG00000162734
